language,source,target,reference,BLEU_score
en,The order number is 123456,"['thank', 'you.', 'your', 'order', 'is', 'on', 'its', 'way']","[['your', 'order', 'is', 'on', 'its', 'way.', 'thank', 'you']]",0.741082269
en,The order number is 123456,"['thank', 'you.', 'your', 'order', 'is', 'on', 'its', 'way']","[['i', 'can', 'see', 'that', 'your', 'order', 'is', 'on', 'its', 'way']]",0.869876531
en,The order number is 123456,"['thank', 'you.', 'your', 'order', 'is', 'on', 'its', 'way']","[['thank', 'you,', 'your', 'order', 'is', 'not', 'on', 'the', 'way']]",0.828554151
en,The order number is 123456,"['thank', 'you.', 'your', 'order', 'is', 'on', 'its', 'way']","[['thanks', 'your', 'order', 'is', 'now', 'on', 'its', 'way']]",0.750864545
en,The order number is 123456,"['thank', 'you.', 'your', 'order', 'is', 'on', 'its', 'way']","[['your', 'order', '123456', 'is', 'on', 'its', 'way']]",0.811133617
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['मुझे', 'लगता', 'है', 'कि', 'आप', 'अपना', 'ऑर्डर', 'रद्द', 'करना', 'चाहते', 'हैं।', 'इसमें', 'आपकी', 'सहायता', 'करने', 'के', 'लिए,', 'क्या', 'आप', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं', 'ताकि', 'मैं', 'आपको', 'रद्दीकरण', 'प्रक्रिया', 'के', 'माध्यम', 'से', 'प्रभावी', 'ढंग', 'से', 'मार्गदर्शन', 'कर', 'सकूं?']","[['क्या', 'आप', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं?']]",0.724074521
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['मुझे', 'लगता', 'है', 'कि', 'आप', 'अपना', 'ऑर्डर', 'रद्द', 'करना', 'चाहते', 'हैं।', 'इसमें', 'आपकी', 'सहायता', 'करने', 'के', 'लिए,', 'क्या', 'आप', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं', 'ताकि', 'मैं', 'आपको', 'रद्दीकरण', 'प्रक्रिया', 'के', 'माध्यम', 'से', 'प्रभावी', 'ढंग', 'से', 'मार्गदर्शन', 'कर', 'सकूं?']","[['क्या', 'आप', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं', 'ताकि', 'मैं', 'रद्दीकरण', 'प्रक्रिया', 'में', 'आपकी', 'सहायता', 'कर', 'सकूं?']]",0.810804823
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['मुझे', 'लगता', 'है', 'कि', 'आप', 'अपना', 'ऑर्डर', 'रद्द', 'करना', 'चाहते', 'हैं।', 'इसमें', 'आपकी', 'सहायता', 'करने', 'के', 'लिए,', 'क्या', 'आप', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं', 'ताकि', 'मैं', 'आपको', 'रद्दीकरण', 'प्रक्रिया', 'के', 'माध्यम', 'से', 'प्रभावी', 'ढंग', 'से', 'मार्गदर्शन', 'कर', 'सकूं?']","[['इसमें', 'आपकी', 'सहायता', 'करने', 'के', 'लिए', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'प्रदान', 'करें', 'ताकि', 'मैं', 'आपको', 'अपना', 'ऑर्डर', 'रद्द', 'करने', 'के', 'बारे', 'में', 'मार्गदर्शन', 'कर', 'सकूं']]",0.738802418
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['मुझे', 'लगता', 'है', 'कि', 'आप', 'अपना', 'ऑर्डर', 'रद्द', 'करना', 'चाहते', 'हैं।', 'इसमें', 'आपकी', 'सहायता', 'करने', 'के', 'लिए,', 'क्या', 'आप', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं', 'ताकि', 'मैं', 'आपको', 'रद्दीकरण', 'प्रक्रिया', 'के', 'माध्यम', 'से', 'प्रभावी', 'ढंग', 'से', 'मार्गदर्शन', 'कर', 'सकूं?']","[['मैं', 'देख', 'रहा', 'हूँ', 'कि', 'आप', 'अपना', 'ऑर्डर', 'रद्द', 'करना', 'चाहते', 'हैं।', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'प्रदान', 'करें', 'ताकि', 'मैं', 'आपको', 'रद्दीकरण', 'प्रक्रिया', 'के', 'बारे', 'में', 'मार्गदर्शन', 'कर', 'सकूँ']]",0.745318957
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['मुझे', 'लगता', 'है', 'कि', 'आप', 'अपना', 'ऑर्डर', 'रद्द', 'करना', 'चाहते', 'हैं।', 'इसमें', 'आपकी', 'सहायता', 'करने', 'के', 'लिए,', 'क्या', 'आप', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं', 'ताकि', 'मैं', 'आपको', 'रद्दीकरण', 'प्रक्रिया', 'के', 'माध्यम', 'से', 'प्रभावी', 'ढंग', 'से', 'मार्गदर्शन', 'कर', 'सकूं?']","[['मुझे', 'लगता', 'है', 'कि', 'आप', 'अपना', 'ऑर्डर', 'रद्द', 'करना', 'चाहते', 'हैं।', 'इसमें', 'आपकी', 'सहायता', 'करने', 'के', 'लिए,', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'दें', 'ताकि', 'मैं', 'आपको', 'रद्दीकरण', 'प्रक्रिया', 'के', 'बारे', 'में', 'बता', 'सकूँ']]",0.689041058
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['मुझे', 'लगता', 'है', 'कि', 'आप', 'अपना', 'ऑर्डर', 'रद्द', 'करना', 'चाहते', 'हैं।', 'इसमें', 'आपकी', 'सहायता', 'करने', 'के', 'लिए,', 'क्या', 'आप', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं', 'ताकि', 'मैं', 'आपको', 'रद्दीकरण', 'प्रक्रिया', 'के', 'माध्यम', 'से', 'प्रभावी', 'ढंग', 'से', 'मार्गदर्शन', 'कर', 'सकूं?']","[['आपके', 'ऑर्डर', 'को', 'रद्द', 'करने', 'की', 'प्रक्रिया', 'में', 'मदद', 'करने', 'के', 'लिए,', 'क्या', 'आप', 'कृपया', 'मुझे', 'अपना', 'ऑर्डर', 'नंबर', 'प्रदान', 'कर', 'सकते', 'हैं?']]",0.776160596
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['क्या', 'आप', 'कृपया', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं?']","[['कृपया', 'अपना', 'ऑर्डर', 'नंबर', 'प्रदान', 'करें?']]",0.89847459
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['क्या', 'आप', 'कृपया', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं?']","[['क्या', 'आप', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं?']]",0.960632864
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['क्या', 'आप', 'कृपया', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं?']","[['क्या', 'आप', 'कृपया', 'ऑर्डर', 'नंबर', 'प्रदान', 'कर', 'सकते', 'हैं?']]",1.29E-01
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['क्या', 'आप', 'कृपया', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं?']","[['क्या', 'आप', 'कृपया', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं']]",0.863340021
hi,मैं अपना ऑर्डर रद्द करना चाहता हूं,"['क्या', 'आप', 'कृपया', 'अपना', 'ऑर्डर', 'नंबर', 'दे', 'सकते', 'हैं?']","[['कृपया', 'अपना', 'ऑर्डर', 'नंबर', 'प्रदान', 'करें']]",0.89847459
hi,मेरा ऑर्डर नंबर 123456 है,"['धन्यवाद।', 'आपका', 'ऑर्डर', 'आ', 'रहा', 'है']","[['आपका', 'आदेश', 'मार्ग', 'में', 'है']]",0.851032748
hi,मेरा ऑर्डर नंबर 123456 है,"['धन्यवाद।', 'आपका', 'ऑर्डर', 'आ', 'रहा', 'है']","[['आपका', 'ऑर्डर', 'आ', 'रहा', 'है।', 'धन्यवाद']]",0.858132748
hi,मेरा ऑर्डर नंबर 123456 है,"['धन्यवाद।', 'आपका', 'ऑर्डर', 'आ', 'रहा', 'है']","[['मैं', 'देख', 'सकता', 'हूँ', 'कि', 'आपका', 'ऑर्डर', 'आ', 'रहा', 'है']]",0.790112649
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['میں', 'دیکھ', 'رہا', 'ہوں', 'کہ', 'آپ', 'اپنا', 'آرڈر', 'منسوخ', 'کرنا', 'چاہیں', 'گے۔', 'اس', 'میں', 'آپ', 'کی', 'مدد', 'کرنے', 'کے', 'لیے،', 'کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں', 'تاکہ', 'میں', 'منسوخی', 'کے', 'عمل', 'میں', 'مؤثر', 'طریقے', 'سے', 'آپ', 'کی', 'رہنمائی', 'کر', 'سکوں؟']","[['کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']]",0.674544785
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['میں', 'دیکھ', 'رہا', 'ہوں', 'کہ', 'آپ', 'اپنا', 'آرڈر', 'منسوخ', 'کرنا', 'چاہیں', 'گے۔', 'اس', 'میں', 'آپ', 'کی', 'مدد', 'کرنے', 'کے', 'لیے،', 'کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں', 'تاکہ', 'میں', 'منسوخی', 'کے', 'عمل', 'میں', 'مؤثر', 'طریقے', 'سے', 'آپ', 'کی', 'رہنمائی', 'کر', 'سکوں؟']","[['کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں', 'تاکہ', 'میں', 'منسوخی', 'کے', 'عمل', 'میں', 'آپ', 'کی', 'مدد', 'کر', 'سکوں؟']]",0.596973994
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['میں', 'دیکھ', 'رہا', 'ہوں', 'کہ', 'آپ', 'اپنا', 'آرڈر', 'منسوخ', 'کرنا', 'چاہیں', 'گے۔', 'اس', 'میں', 'آپ', 'کی', 'مدد', 'کرنے', 'کے', 'لیے،', 'کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں', 'تاکہ', 'میں', 'منسوخی', 'کے', 'عمل', 'میں', 'مؤثر', 'طریقے', 'سے', 'آپ', 'کی', 'رہنمائی', 'کر', 'سکوں؟']","[['اس', 'میں', 'آپ', 'کی', 'مدد', 'کرنے', 'کے', 'لیے', 'آپ', 'براہ', 'کرم', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں', 'تاکہ', 'میں', 'آپ', 'کی', 'رہنمائی', 'کر', 'سکوں', 'کہ', 'آپ', 'کا', 'آرڈر', 'کیسے', 'منسوخ', 'کیا', 'جائے۔']]",0.810306973
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['میں', 'دیکھ', 'رہا', 'ہوں', 'کہ', 'آپ', 'اپنا', 'آرڈر', 'منسوخ', 'کرنا', 'چاہیں', 'گے۔', 'اس', 'میں', 'آپ', 'کی', 'مدد', 'کرنے', 'کے', 'لیے،', 'کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں', 'تاکہ', 'میں', 'منسوخی', 'کے', 'عمل', 'میں', 'مؤثر', 'طریقے', 'سے', 'آپ', 'کی', 'رہنمائی', 'کر', 'سکوں؟']","[['میں', 'دیکھ', 'رہا', 'ہوں', 'کہ', 'آپ', 'منسوخ', 'کرنا', 'چاہتے', 'ہیں', 'آپ', 'اپنا', 'آرڈر', 'منسوخ', 'کرنا', 'چاہتے', 'ہیں۔', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کریں', 'تاکہ', 'میں', 'منسوخی', 'کے', 'عمل', 'میں', 'آپ', 'کی', 'رہنمائی', 'کر', 'سکوں']]",0.759703057
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['میں', 'دیکھ', 'رہا', 'ہوں', 'کہ', 'آپ', 'اپنا', 'آرڈر', 'منسوخ', 'کرنا', 'چاہیں', 'گے۔', 'اس', 'میں', 'آپ', 'کی', 'مدد', 'کرنے', 'کے', 'لیے،', 'کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں', 'تاکہ', 'میں', 'منسوخی', 'کے', 'عمل', 'میں', 'مؤثر', 'طریقے', 'سے', 'آپ', 'کی', 'رہنمائی', 'کر', 'سکوں؟']","[['میں', 'دیکھ', 'رہا', 'ہوں', 'کہ', 'آپ', 'اپنا', 'آرڈر', 'منسوخ', 'کرنا', 'چاہیں', 'گے۔', 'اس', 'میں', 'آپ', 'کی', 'مدد', 'کرنے', 'کے', 'لیے،', 'کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں', 'تاکہ', 'میں', 'منسوخی', 'کے', 'عمل', 'میں', 'آپ', 'کی', 'رہنمائی', 'کر', 'سکوں']]",0.869296001
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['میں', 'دیکھ', 'رہا', 'ہوں', 'کہ', 'آپ', 'اپنا', 'آرڈر', 'منسوخ', 'کرنا', 'چاہیں', 'گے۔', 'اس', 'میں', 'آپ', 'کی', 'مدد', 'کرنے', 'کے', 'لیے،', 'کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں', 'تاکہ', 'میں', 'منسوخی', 'کے', 'عمل', 'میں', 'مؤثر', 'طریقے', 'سے', 'آپ', 'کی', 'رہنمائی', 'کر', 'سکوں؟']","[['آپ', 'کے', 'آرڈر', 'کی', 'منسوخی', 'کے', 'عمل', 'میں', 'مدد', 'کے', 'لیے،', 'کیا', 'آپ', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']]",0.694336734
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['کیا', 'آپ', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']","[['براہ', 'کرم', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کریں؟']]",0.49847459
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['کیا', 'آپ', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']","[['کیا', 'آپ', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']]",1
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['کیا', 'آپ', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']","[['کیا', 'آپ', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']]",0.760632864
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['کیا', 'آپ', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']","[['کیا', 'آپ', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']]",1
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['کیا', 'آپ', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']","[['مجھے', 'آپ', 'کے', 'آرڈر', 'نمبر', 'کی', 'ضرورت', 'ہوگی۔']]",6.74E-155
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['کیا', 'آپ', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']","[['براہ', 'کرم', 'مجھے', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کریں۔']]",0.79847459
ur,میں اپنا آرڈر منسوخ کرنا چاہتا ہوں۔,"['کیا', 'آپ', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کر', 'سکتے', 'ہیں؟']","[['براہ', 'کرم', 'اپنا', 'آرڈر', 'نمبر', 'فراہم', 'کریں۔']]",0.89847459
ur,میرا آرڈر نمبر 123456 ہے۔,"['شکریہ', 'آپ', 'کا', 'آرڈر', 'جاری', 'ہے۔']","[['آپ', 'کا', 'آرڈر', 'جاری', 'ہے۔']]",0.959835686
ur,میرا آرڈر نمبر 123456 ہے۔,"['شکریہ', 'آپ', 'کا', 'آرڈر', 'جاری', 'ہے۔']","[['آپ', 'کا', 'آرڈر', 'جاری', 'ہے۔', 'شکریہ']]",0.795270729
ur,میرا آرڈر نمبر 123456 ہے۔,"['شکریہ', 'آپ', 'کا', 'آرڈر', 'جاری', 'ہے۔']","[['میں', 'دیکھ', 'سکتا', 'ہوں', 'کہ', 'آپ', 'کا', 'آرڈر', 'جاری', 'ہے۔']]",0.690112649
it,Voglio annullare il mio ordine,"['vedo', 'che', 'vorresti', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'aiutarti,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'efficacemente', 'nel', 'processo', 'di', 'annullamento?']","[['puoi', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine,', 'per', 'favore?']]",0.69415065
it,Voglio annullare il mio ordine,"['vedo', 'che', 'vorresti', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'aiutarti,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'efficacemente', 'nel', 'processo', 'di', 'annullamento?']","[['potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'aiutarti', 'con', 'la', 'procedura', 'di', 'annullamento?']]",0.857335248
it,Voglio annullare il mio ordine,"['vedo', 'che', 'vorresti', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'aiutarti,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'efficacemente', 'nel', 'processo', 'di', 'annullamento?']","[['per', 'aiutarti', 'con', 'questo', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'su', 'come', 'annullare', 'il', 'tuo', 'ordine']]",0.591641681
it,Voglio annullare il mio ordine,"['vedo', 'che', 'vorresti', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'aiutarti,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'efficacemente', 'nel', 'processo', 'di', 'annullamento?']","[['vedo', 'che', 'vuoi', 'annullare', 'il', 'tuo', 'ordine.', 'forniscimi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'nel', 'processo', 'di', 'annullamento.']]",0.665105254
it,Voglio annullare il mio ordine,"['vedo', 'che', 'vorresti', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'aiutarti,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'efficacemente', 'nel', 'processo', 'di', 'annullamento?']","[['vedo', 'che', 'vorresti', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'aiutarti,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'attraverso', 'il', 'processo', 'di', 'annullamento?']]",0.839587623
it,Voglio annullare il mio ordine,"['vedo', 'che', 'vorresti', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'aiutarti,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'efficacemente', 'nel', 'processo', 'di', 'annullamento?']","[['per', 'agevolare', 'la', 'procedura', 'di', 'annullamento', 'del', 'tuo', 'ordine,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine?']]",0.584512783
it,Voglio annullare il mio ordine,"['vedo', 'che', 'vorresti', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'aiutarti,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'efficacemente', 'nel', 'processo', 'di', 'annullamento?']","[['vedo', 'che', 'vuoi', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'favore,', 'forniscimi', 'il', 'numero', ""dell'ordine"", 'così', 'posso', 'aiutarti', 'con', ""l'annullamento.""]]",0.696307602
it,Voglio annullare il mio ordine,"['vedo', 'che', 'vorresti', 'annullare', 'il', 'tuo', 'ordine.', 'per', 'aiutarti,', 'potresti', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine', 'così', 'posso', 'guidarti', 'efficacemente', 'nel', 'processo', 'di', 'annullamento?']","[['per', 'poterti', 'aiutare', 'con', 'la', 'procedura', 'di', 'annullamento', 'del', 'tuo', 'ordine,', 'ti', 'prego', 'di', 'fornirmi', 'il', 'numero', 'del', 'tuo', 'ordine,', 'così', 'potrò', 'aiutarti.']]",0.670595737
it,Voglio annullare il mio ordine,"['potresti', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']","[['per', 'favore,', 'fornisci', 'il', 'numero', 'del', 'tuo', 'ordine?']]",0.692946263
it,Voglio annullare il mio ordine,"['potresti', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']","[['puoi', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']]",0.809106712
it,Voglio annullare il mio ordine,"['potresti', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']","[['potresti', 'fornirmi', 'il', 'numero', ""dell'ordine?""]]",0.671152386
it,Voglio annullare il mio ordine,"['potresti', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']","[['puoi', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']]",0.809106712
it,Voglio annullare il mio ordine,"['potresti', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']","[['avrò', 'bisogno', 'del', 'numero', 'del', 'tuo', 'ordine']]",0.291333848
it,Voglio annullare il mio ordine,"['potresti', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']","[['per', 'favore', 'forniscimi', 'il', 'numero', 'del', 'tuo', 'ordine']]",0.656402646
it,Voglio annullare il mio ordine,"['potresti', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']","[['per', 'favore', 'fornisci', 'il', 'numero', 'del', 'tuo', 'ordine']]",0.756402646
it,Voglio annullare il mio ordine,"['potresti', 'fornirci', 'il', 'numero', 'del', 'tuo', 'ordine?']","[['ok.', 'per', 'favore', 'puoi', 'fornirmi', 'il', 'numero', ""dell'ordine?""]]",0.684053386
